requirement_id,source_location,requirement,applicable_files,verification_method,current_status,evidence,approval_status
RL-01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:110,1. Do **not** reintroduce original-drug versus generic-drug R&D as two innovation directions.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:111,2. Do **not** restore A/B/C as permanent firm types.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:112,3. Do **not** introduce a full multi-product firm state.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:113,4. Do **not** introduce firm entry/exit into the baseline.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-05,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:114,5. Do **not** introduce a Hopenhayn invariant firm distribution.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-06,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:115,"6. Do **not** introduce a representative household, capital accumulation, aggregate BGP, or full welfare model.",active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-07,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:116,7. Do **not** let MAH directly increase research productivity \(a_i\).,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-08,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:117,"8. Do **not** let MAH directly increase market size, demand, or project quality \(q\).",active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-09,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:118,9. Do **not** let MAH directly increase the baseline clinical/regulatory success probability \(s(q)\).,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-10,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:119,10. Do **not** let MAH directly lower the equilibrium CMO price \(p_m^*\).,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-11,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:120,11. Do **not** interpret entrusted production as transfer of ownership/authorization.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-12,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:121,12. Do **not** use logit/inclusive value as the theoretical baseline.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-13,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:122,13. Do **not** reintroduce the current continuous implementation parameter \(\eta\) into the baseline.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-14,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:123,14. Do **not** create new state variables merely because another reference paper contains them.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-15,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:124,15. Do **not** modify the main manuscript until the derivation modules below pass their audit gates.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-16,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:125,16. Do **not** claim that every primitive is separately identified by available data.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-17,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:126,17. Do **not** use pseudo-code as a substitute for formal economics derivation.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-18,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:127,18. Do **not** silently change notation from one phase to the next.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-19,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:128,19. Do **not** write a proposition before checking that all objects used in it have already been formally defined.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-20,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:129,20. Do **not** infer welfare conclusions from private-value or realized-output comparative statics.,active baseline; candidates; final manuscript,scope-aware semantic audit and protected-file hashes,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
RL-21,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_amendment_v1.1_for_Codex.md:73,21. Do **not** describe \(x_i\) as generic R&D effort if this wording could include upstream patent-generating research.,active baseline; candidates; final manuscript,scope-aware semantic audit,PASS_PHASE01_SCOPE_ONLY,paper/model_rebuild/revision_20260907/audit/phase01_manual_audit.md; global final audit pending,No
