file,line,existing_text,required_action,write_gate
paper/manuscript/mah_route_indicator_friction_model.tex,47,choose one common original-drug innovation investment / project-advancement,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Phase 18
paper/manuscript/mah_route_indicator_friction_model.tex,203,investment / project-advancement intensity. It is broader than pure clinical,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Phase 18
paper/manuscript/mah_route_indicator_friction_model.tex,498,"Advancement \(x_i\) and \(a_ix_i\) & Consistently measured development-stage activity and planning-stage project events & \(x_i\) is not pure clinical effort, patent applications, or an approval count. \\",Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Phase 18
paper/manuscript/mah_route_indicator_friction_model_appendix.tex,89,control \(x_i\) is original-drug innovation investment /,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Phase 18
paper/manuscript/mah_route_indicator_friction_model_appendix.tex,90,"project-advancement intensity. It is broader than pure clinical effort, but",Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Phase 18
paper/model_notes/00_model_closure_status.md,7,- Effective specification: `paper/model_rebuild/spec/MAH_model_rebuild_effective_spec_v1.2.md`,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/01_symbols_and_objects.md,4,Controlling specification: `paper/model_rebuild/spec/MAH_model_rebuild_effective_spec_v1.2.md`  ,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/01_symbols_and_objects.md,66,"| $x_i$ | control | original-drug innovation investment / project-advancement intensity chosen before project draws | $x_i\geq0$, units $\mathsf{X}$ | Phase 1 | No direct shift; expected-value channel later |",Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/02_equation_dependency_map.md,493,| $x_i\equiv$ clinical-development effort | v1.2 says $x_i$ is broader |,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
paper/model_notes/03_assumptions_and_scope.md,138,The canonical meaning of \(x_i\) is original-drug innovation investment /,Replace expanded control interpretation with v1.1 development/advancement boundary; retain negative patent boundary,Relevant phase approval chain
