"phase","source_file","source_line","equation_label","section_label","subsection_label","explicit_equation_refs","equation_body"
"1","01_primitives_and_timing.tex","27","eq:p01-developer-type","sec:p01-primitives-timing","subsec:p01-units-populations","","\begin{equation} \theta_i=(a_i,k_i). \label{eq:p01-developer-type} \end{equation}"
"1","01_primitives_and_timing.tex","44","eq:p01-project-draw","sec:p01-primitives-timing","subsec:p01-projects","","\begin{equation} \omega=(q,m)\sim F(q,m), \label{eq:p01-project-draw} \end{equation}"
"1","01_primitives_and_timing.tex","61","eq:p01-class-mixture","sec:p01-primitives-timing","subsec:p01-projects","","\begin{equation} \sum_{g\in\{O,\mathrm{Inc}\}}\rho_g=1, \qquad F(q,m)= \sum_{g\in\{O,\mathrm{Inc}\}}\rho_gF_g(q,m). \label{eq:p01-class-mixture} \end{equation}"
"1","01_primitives_and_timing.tex","81","eq:p01-institutional-wedge","sec:p01-primitives-timing","subsec:p01-institution-routes","","\begin{equation} \tau_E(0)=+\infty, \qquad \tau_E(1)=\bar\tau_E<+\infty, \qquad \bar\tau_E\geq0. \label{eq:p01-institutional-wedge} \end{equation}"
"1","01_primitives_and_timing.tex","95","eq:p01-route-domain","sec:p01-primitives-timing","subsec:p01-institution-routes","","\begin{equation} r_i\in \begin{cases} \{I,T,A\}, & M=0,\\ \{I,E,T,A\}, & M=1. \end{cases} \label{eq:p01-route-domain} \end{equation}"
"1","01_primitives_and_timing.tex","117","eq:p01-planned-intensity","sec:p01-primitives-timing","subsec:p01-advancement-realization","","\begin{equation} \lambda_i^{\mathrm{plan}}=a_ix_i. \label{eq:p01-planned-intensity} \end{equation}"
"1","01_primitives_and_timing.tex","134","eq:p01-downstream-probability","sec:p01-primitives-timing","subsec:p01-advancement-realization","","\begin{equation} \Pr\{\text{downstream realization}\mid q\}=s(q). \label{eq:p01-downstream-probability} \end{equation}"
"1","01_primitives_and_timing.tex","188","eq:p01-only-direct-policy-arrow","sec:p01-primitives-timing","subsec:p01-mechanism-boundary","","\begin{equation} M\longrightarrow \tau_E(M) \quad\text{and the legal availability of route }E. \label{eq:p01-only-direct-policy-arrow} \end{equation}"
"1","01_primitives_and_timing.tex","200","eq:p01-anticipated-channel","sec:p01-primitives-timing","subsec:p01-mechanism-boundary","","\begin{equation} M \longrightarrow \text{anticipated availability/value of }E \longrightarrow \Omega_i \longrightarrow x_i^*. \label{eq:p01-anticipated-channel} \end{equation}"
"1","01_primitives_and_timing.tex","214","eq:p01-realization-channel","sec:p01-primitives-timing","subsec:p01-mechanism-boundary","","\begin{equation} \begin{aligned} x_i^* &\longrightarrow \text{planning-stage projects} \longrightarrow r_i^* \\ &\longrightarrow \text{observed holder--producer separation} \longrightarrow \text{realized products}. \end{aligned} \label{eq:p01-realization-channel} \end{equation}"
"2","02_demand_profit_derivation.tex","24","eq:p02-demand","sec:p02-demand-profit","subsec:p02-demand-pricing","","\begin{equation} y(p;q)=Aq p^{-\varepsilon}, \qquad A>0,\quad q>0,\quad \varepsilon>1. \label{eq:p02-demand} \end{equation}"
"2","02_demand_profit_derivation.tex","31","eq:p02-pricing-problem","sec:p02-demand-profit","subsec:p02-demand-pricing","","\begin{equation} \max_{p\geq c}\;(p-c)Aq p^{-\varepsilon}. \label{eq:p02-pricing-problem} \end{equation}"
"2","02_demand_profit_derivation.tex","42","eq:p02-price-foc","sec:p02-demand-profit","subsec:p02-demand-pricing","","\begin{align} \frac{\partial}{\partial p} \left[(p-c)Aq p^{-\varepsilon}\right] &=Aq p^{-\varepsilon} -\varepsilon Aq(p-c)p^{-\varepsilon-1} \notag\\ &=Aq p^{-\varepsilon-1} \left[\varepsilon c-(\varepsilon-1)p\right]. \label{eq:p02-price-foc} \end{align}"
"2","02_demand_profit_derivation.tex","48","eq:p02-optimal-price","sec:p02-demand-profit","subsec:p02-demand-pricing","","\begin{equation} p^*(c)=\frac{\varepsilon}{\varepsilon-1}c. \label{eq:p02-optimal-price} \end{equation}"
"2","02_demand_profit_derivation.tex","63","eq:p02-price-soc","sec:p02-demand-profit","subsec:p02-demand-pricing","","\begin{equation} \left. \frac{\partial^2}{\partial p^2} \left[(p-c)Aq p^{-\varepsilon}\right] \right|_{p=p^*(c)} =-Aq(\varepsilon-1) \left[p^*(c)\right]^{-\varepsilon-1}<0. \label{eq:p02-price-soc} \end{equation}"
"2","02_demand_profit_derivation.tex","83","eq:p02-operating-profit","sec:p02-demand-profit","subsec:p02-operating-profit","","\begin{align} \pi(q,c) &=\left(\frac{c}{\varepsilon-1}\right) Aq\left(\frac{\varepsilon c}{\varepsilon-1}\right)^{-\varepsilon} \notag\\ &=Aq \frac{(\varepsilon-1)^{\varepsilon-1}} {\varepsilon^{\varepsilon}} c^{1-\varepsilon}. \label{eq:p02-operating-profit} \end{align}"
"2","02_demand_profit_derivation.tex","96","eq:p02-profit-derivatives","sec:p02-demand-profit","subsec:p02-operating-profit","","\begin{equation} \frac{\partial\pi(q,c)}{\partial q} =\frac{\pi(q,c)}{q}>0, \qquad \frac{\partial\pi(q,c)}{\partial c} =(1-\varepsilon)\frac{\pi(q,c)}{c}<0. \label{eq:p02-profit-derivatives} \end{equation}"
"2","02_demand_profit_derivation.tex","119","eq:p02-present-value","sec:p02-demand-profit","subsec:p02-present-value","","\begin{align} R(q,c) &=\sum_{t=0}^{\infty}(\beta\varphi)^t\pi(q,c) \notag\\ &=\frac{\pi(q,c)}{1-\beta\varphi}, \qquad 0\leq\beta\varphi<1. \label{eq:p02-present-value} \end{align}"
"2","02_demand_profit_derivation.tex","129","eq:p02-return-derivatives","sec:p02-demand-profit","subsec:p02-present-value","","\begin{equation} \frac{\partial R(q,c)}{\partial q} =\frac{R(q,c)}{q}>0, \qquad \frac{\partial R(q,c)}{\partial c} =(1-\varepsilon)\frac{R(q,c)}{c}<0. \label{eq:p02-return-derivatives} \end{equation}"
"3","03_internal_external_technologies.tex","23","eq:p03-internal-cost","sec:p03-technologies","subsec:p03-internal","","\begin{equation} c_I(m,k_i)>0, \qquad c_{I,m}(m,k_i)>0, \qquad c_{I,k}(m,k_i)<0 \quad\text{when internal production is feasible}. \label{eq:p03-internal-cost} \end{equation}"
"3","03_internal_external_technologies.tex","41","eq:p03-internal-setup","sec:p03-technologies","subsec:p03-internal","","\begin{equation} \begin{gathered} 0\leq F_I(m,k_i)<+\infty,\quad F_{I,m}(m,k_i)>0,\quad F_{I,k}(m,k_i)<0 \quad\text{if }k_i\geq\underline{k}(m),\\ F_I(m,k_i)=+\infty \quad\text{if }k_i<\underline{k}(m). \end{gathered} \label{eq:p03-internal-setup} \end{equation}"
"3","03_internal_external_technologies.tex","54","eq:p03-external-cost","sec:p03-technologies","subsec:p03-external","","\begin{equation} c_E(m)>0, \label{eq:p03-external-cost} \end{equation}"
"3","03_internal_external_technologies.tex","64","eq:p03-capacity-requirement","sec:p03-technologies","subsec:p03-external","","\begin{equation} b(m)>0, \qquad b'(m)>0, \label{eq:p03-capacity-requirement} \end{equation}"
"3","03_internal_external_technologies.tex","73","eq:p03-external-fixed-cost","sec:p03-technologies","subsec:p03-external","","\begin{equation} F_E(m)\geq0, \label{eq:p03-external-fixed-cost} \end{equation}"
"3","03_internal_external_technologies.tex","79","eq:p03-holder-burden","sec:p03-technologies","subsec:p03-external","","\begin{equation} \mu_E\geq0. \label{eq:p03-holder-burden} \end{equation}"
"3","03_internal_external_technologies.tex","110","eq:p03-policy-invariance","sec:p03-technologies","subsec:p03-organization","","\begin{equation} M\in\{0,1\}, \qquad \tau_E(0)=+\infty, \qquad \tau_E(1)=\bar\tau_E<+\infty. \label{eq:p03-policy-invariance} \end{equation}"
"4","04_route_values_and_sorting.tex","20","eq:p04-internal-value","sec:p04-route-sorting","subsec:p04-route-values","","\begin{equation} W_i^I(q,m) = s(q)R\!\left(q,c_I(m,k_i)\right) - F_I(m,k_i). \label{eq:p04-internal-value} \end{equation}"
"4","04_route_values_and_sorting.tex","35","eq:p04-entrusted-value","sec:p04-route-sorting","subsec:p04-route-values","","\begin{equation} \begin{aligned} W_i^E(q,m;M,p_m) ={}& s(q)R\!\left(q,c_E(m)\right) -F_E(m)-p_m b(m)\\ &-\mu_E-\tau_E(M). \end{aligned} \label{eq:p04-entrusted-value} \end{equation}"
"4","04_route_values_and_sorting.tex","47","eq:p04-outside-values","sec:p04-route-sorting","subsec:p04-route-values","","\begin{equation} W^T(q,m)=T(q,m), \qquad W^A=0. \label{eq:p04-outside-values} \end{equation}"
"4","04_route_values_and_sorting.tex","64","eq:p04-optimized-value","sec:p04-route-sorting","subsec:p04-deterministic-choice","","\begin{equation} W_i(q,m;M,p_m) = \max\left\{ W_i^I(q,m), W_i^E(q,m;M,p_m), W^T(q,m), W^A \right\}. \label{eq:p04-optimized-value} \end{equation}"
"4","04_route_values_and_sorting.tex","77","eq:p04-route-choice","sec:p04-route-sorting","subsec:p04-deterministic-choice","","\begin{equation} r_i^*(q,m;M,p_m) = \arg\max_{r\in\{I,E,T,A\}} \begin{cases} W_i^I(q,m), & r=I,\\ W_i^E(q,m;M,p_m), & r=E,\\ W^T(q,m), & r=T,\\ W^A, & r=A. \end{cases} \label{eq:p04-route-choice} \end{equation}"
"4","04_route_values_and_sorting.tex","95","eq:p04-binary-value-effect","sec:p04-route-sorting","subsec:p04-deterministic-choice","","\begin{equation} \begin{aligned} &W_i(q,m;1,p_m)-W_i(q,m;0,p_m)\\ &\quad= \max\!\left\{ W_i^E(q,m;1,p_m),W_i^I(q,m),W^T(q,m),0 \right\}\\ &\qquad\quad-\max\!\left\{W_i^I(q,m),W^T(q,m),0\right\} \geq0. \end{aligned} \label{eq:p04-binary-value-effect} \end{equation}"
"4","04_route_values_and_sorting.tex","117","eq:p04-value-gap","sec:p04-route-sorting","subsec:p04-value-gap","","\begin{align} \Delta_{IE}(k_i;q,m,M,p_m) &= W_i^I(q,m)-W_i^E(q,m;M,p_m) \notag\\ &= s(q)\!\left[ R\!\left(q,c_I(m,k_i)\right) -R\!\left(q,c_E(m)\right) \right] -F_I(m,k_i) \notag\\ &\quad +F_E(m)+p_m b(m)+\mu_E+\tau_E(M). \label{eq:p04-value-gap} \end{align}"
"4","04_route_values_and_sorting.tex","128","eq:p04-gap-slope","sec:p04-route-sorting","subsec:p04-value-gap","","\begin{equation} \frac{\partial\Delta_{IE}}{\partial k_i} = s(q)R_c\!\left(q,c_I(m,k_i)\right)c_{I,k}(m,k_i) - F_{I,k}(m,k_i) >0. \label{eq:p04-gap-slope} \end{equation}"
"4","04_route_values_and_sorting.tex","150","eq:p04-cutoff","sec:p04-route-sorting","subsec:p04-cutoff","","\begin{equation} \Delta_{IE}\!\left(k^*(q,m;p_m,M);q,m,M,p_m\right)=0. \label{eq:p04-cutoff} \end{equation}"
"4","04_route_values_and_sorting.tex","157","eq:p04-cutoff-sorting","sec:p04-route-sorting","subsec:p04-cutoff","","\begin{equation} k_i<k^*\Rightarrow r_i^*=E, \qquad k_i>k^*\Rightarrow r_i^*=I. \label{eq:p04-cutoff-sorting} \end{equation}"
