requirement_id,source_location,effective_requirement,applicable_files,verification_method,current_status,evidence,approval_status
RL-01,"BASE §2, item 1",No original-drug versus generic-drug R&D directions,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-02,"BASE §2, item 2",No permanent A/B/C firm types,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-03,"BASE §2, item 3",No full multi-product firm state,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-04,"BASE §2, item 4",No baseline firm entry or exit,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-05,"BASE §2, item 5",No Hopenhayn invariant firm distribution,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-06,"BASE §2, item 6","No representative household, capital accumulation, BGP, or welfare model",all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-07,"BASE §2, item 7",MAH does not directly increase a_i,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-08,"BASE §2, item 8","MAH does not directly increase market size, q, or demand",all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-09,"BASE §2, item 9",MAH does not directly increase s(q) or s_g(q),all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-10,"BASE §2, item 10",MAH does not directly lower equilibrium p_m^*,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-11,"BASE §2, item 11",Entrusted production is not ownership/authorization transfer,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-12,"BASE §2, item 12",No baseline logit or inclusive value,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-13,"BASE §2, item 13",No baseline continuous eta implementation parameter,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-14,"BASE §2, item 14",No new state variables imported from reference papers,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-15,"BASE §2, item 15",No manuscript modification before the derivation gates and Phase 18 approval,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-16,"BASE §2, item 16",Do not claim separate identification of every primitive,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-17,"BASE §2, item 17",Pseudo-code cannot substitute for formal derivation,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-18,"BASE §2, item 18",Notation cannot change silently across phases,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
RL-19,"BASE §2, item 19",Every proposition object must be defined first,all baseline modules; candidates; manuscript after Phase 18,scope-aware forbidden-mechanism and interpretation audit,SPECIFIED,spec/MAH_model_rebuild_effective_spec_v1.2.md,APPROVED
