"object_id","legacy_object","source_file","line","context_kind","enclosing_labels","text"
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model.tex","105","narrative-paragraph","","Let $R_i^{event}$ denote the route-independent commercialization-event return from an internally realized original drug, let $\bar R_i^E$ denote the corresponding entrusted-route return kernel, and let $v$ be the continuation value of adding one retained product or certificate to the firm's stock. For each retained route $r\in\{I,E\}$, define"
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model.tex","115","equation","eq:GA;eq:GE;eq:GI;eq:GT","&=\zeta_i^I\left[R_i^{event}+v\right]-C^I(k_i),"
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","105","appendix;narrative-paragraph","","The baseline model uses a route-independent gross commercialization return rather than a full product-market demand system. Let $R^{event}_{it}$ denote the gross event payoff received when a route-planning original-drug project is successfully converted into a marketed product, before route-level implementation costs are paid. This object summarizes market size, therapeutic value, reimbursement environment, procurement exposure, and the quality or novelty composition of the opportunity. It is not the continuation value of keeping the drug in the innovating firm's future portfolio; that continuation value is represented separately by $v_t$."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","111","appendix;equation","eq:RbarE","\E_t\!\left[R^{event}_{ip,t}\mid L_{ip}=1,E\right],"
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","114","appendix;narrative-paragraph","","where $L_{ip}=1$ means that the planned retained entrusted route is implemented and reaches approval, production, launch, or another observed realization counted in the data. The baseline uses $\bar R^E_{ip,t}$ as a compressed payoff object. It does not separately model sales, after-sales service, pharmacovigilance, penalties, or post-launch partner-performance shocks as state variables. Appendix \ref{sec:ces_appendix} gives a CES background interpretation for $R^{event}$, and Appendix \ref{sec:post_risk_appendix} explains how $\bar R^E$ can be viewed as the expectation of a post-production aggregate risk kernel."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","116","appendix;narrative-paragraph","","The key boundary is that MAH is not modeled as shifting demand. Demand-side conditions help proxy or condition the background level of $R^{event}$ and $\bar R^E$, but they do not identify an MAH demand effect. MAH operates through commercialization-route feasibility, route friction, realization probability, and the contract-manufacturing support cost. The main MAH comparative statics hold the demand-side market-return background fixed."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","200","appendix;narrative-paragraph","","In the baseline, $M$ and $\eta$ do not directly shift $a_i$, $R^{event}$, $\bar R_i^E$, $C^I(k_i)$, or $\mu_i^E$. Conditional on $M=1$, $\tau_{i\eta}^E\le0$, $\zeta_{i\eta}^E\ge0$, and $\zeta_{ip}^E\le0$. Thus MAH operates through route availability, the entrusted-route policy friction, route-specific implementation, and the equilibrium qualified-support cost."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","207","appendix;narrative-paragraph","","For each original-drug project that reaches the route-planning stage, the firm chooses one route $r\in\calR_i(M_{t+1})$ before final observed realization. This timing reflects that an innovative developer often must identify qualified production support for trial material, technology transfer, and manufacturing-readiness review before final clinical success, MAH authorization, and formal retained entrusted production are realized. Let $R^{event}_{i,t+1}$ be the gross commercialization-event payoff from a commercialized original drug in period $t+1$. It summarizes the non-stock payoff associated with converting a route-planning project into a marketed product, including market size, therapeutic value, reimbursement environment, and product demand. It is included because pharmaceutical innovation responds to expected market rewards \citep{AcemogluLinn2004,DuboisDeMouzonScottMortonSeabright2015,BarwickXiaXia2026}. The model does not require firm-product revenue data."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","210","appendix;narrative-paragraph","","There are three distinct payoff objects. First, $R^{event}$ or $\bar R^E$ is the commercialization-event payoff received when a route-planning project becomes a marketed product. Second, existing retained products generate the expected flow payoff $\pi n_{it}$. Third, $v_t$ is the marginal continuation value of adding one retained original-drug asset to the firm's stock. Retained routes receive continuation value only when the project is implemented and retained. Thus $R^{event}\neq v_t$ and $R^{event}\neq \pi n_{it}$."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","213","appendix;narrative-paragraph","","$R^{event}_{i,t+1}$ and $\bar R^E_{ip,t+1}$ are route-period commercialization payoffs and exclude the continuation value of keeping the product in the innovating firm's retained stock. Continuation value is represented separately by $v_{t+1}$. The route $T$ is a non-retained outside option: after transfer, sale, or non-retained out-licensing, the innovating firm receives $S_i-\tau_i^T$ but does not add the product to its retained stock. A retained licensing arrangement would be a different route and is not modeled separately here."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","224","appendix;equation","eq:transfer_special_case","S_i=\omega_i^T R^{event}_{it},"
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","251","appendix;equation","eq:GA;eq:GE;eq:GI;eq:GT","&=\zeta^I_{i,t+1}\left[R^{event}_{i,t+1}+v_{t+1}\right]-C^I(k_i),"
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","671","appendix;narrative-paragraph","","Demand expansion & $R^{event}\uparrow$ & Does not specifically predict holder--producer split & Multiple commercialization routes become more attractive \\"
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","846","appendix;calibration-or-empirical;narrative-paragraph","","$R^{event}$ and $\bar R^E$ & Route-independent gross return and entrusted-route realized-return kernel & Demand-side controls: disease burden, patient population, reimbursement, procurement exposure, aggregate sales or therapeutic-composition controls & Background/control for opportunity value; not evidence that MAH raises demand \\"
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","865","appendix;calibration-or-empirical;narrative-paragraph","","Construct a comparable product-level sample of original-drug records. If available, also construct demand-side controls $d_t^{data}$ for $R^{event}$ and $\bar R^E$, such as disease burden, patient population, reimbursement status, procurement exposure, or therapeutic-area composition. These controls are used to discipline or condition the market-return background, not to define MAH as a demand shock. With current approval-side data, the baseline moments are"
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","874","appendix;calibration-or-empirical;narrative-paragraph","","where $s^{E,data}_{post}$ is the post-MAH holder--producer split share among comparable original-drug records and $\bar\lambda^{O,obs,data}_{0}$ is a baseline realized original-drug count. A research-oriented entry moment $N_E^{data}$ should be added only when a credible firm-year entry panel is available. The demand-side control vector $d_t^{data}$ can be reported alongside these moments or used in sensitivity checks for $R^{event}$ and $\bar R^E$."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","985","appendix;calibration-or-empirical;narrative-paragraph","","Demand-side data are useful as controls for $R^{event}$ and $\bar R^E$. They may include disease burden, patient population, reimbursement status, NRDL status, procurement exposure, aggregate therapeutic-area sales, prescription volume, or therapeutic-area composition. These variables help keep the MAH commercialization-friction channel distinct from changes in market size or payment environment. They should not be interpreted as evidence that MAH itself raises demand."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","1103","appendix;calibration-or-empirical;narrative-paragraph","","The main text compresses this demand-side background into $R^{event}$. It does not solve for feedback from MAH-induced innovation to $P_t$, expenditure allocation, or product-market competition."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","1148","appendix;calibration-or-empirical;narrative-paragraph","","This does not mean that market demand is absent from the model. Demand-side conditions enter through $R^{event}$ and $\bar R^E$ as background payoff shifters and calibration controls, while MAH operates through commercialization-route feasibility, realization probability, CMO support-market costs, and the relative attractiveness of the retained external route."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","1183","appendix;calibration-or-empirical;narrative-paragraph","","Demand-side controls help proxy or condition $R^{event}$ and $\bar R^E$. They are not a fourth MAH mechanism and should not be interpreted as evidence that MAH increases demand."
"CW-01","R_event","paper/manuscript/mah_route_indicator_friction_model_appendix.tex","1271","appendix;calibration-or-empirical;narrative-paragraph","","G_i^I=\zeta_i^I(R_i^{event}+v)-C^I(k_i),"
"CW-01","R_event","research_notes/model_notes/01_symbols_and_objects.md","38","legacy-note","","| \(R_i^{event}\), \(\bar R_i^E\) | route-period commercialization returns | Separate from existing-stock flow payoff and continuation value |"
"CW-01","R_event","research_notes/model_notes/02_equation_dependency_map.md","33","legacy-note","","G_i^I=\zeta_i^I(R_i^{event}+v)-C^I(k_i),"
"CW-01","R_event","research_notes/model_notes/03_assumptions_and_scope.md","19","legacy-note","","- demand or market-return objects \(R_i^{event}\) and \(\bar R_i^E\);"
"CW-01","R_event","research_notes/model_notes/06_bellman_accounting.md","42","legacy-note","","| \(R_i^{event}\), \(\bar R_i^E\) | route-period commercialization payoff after realization | Excludes retained-stock continuation value |"
"CW-01","R_event","research_notes/model_notes/06_bellman_accounting.md","52","legacy-note","","=\zeta_i^I(R_i^{event}+v)-C^I(k_i),"
"CW-02","Rbar_E","paper/manuscript/mah_route_indicator_friction_model.tex","105","narrative-paragraph","","Let $R_i^{event}$ denote the route-independent commercialization-event return from an internally realized original drug, let $\bar R_i^E$ denote the corresponding entrusted-route return kernel, and let $v$ be the continuation value of adding one retained product or certificate to the firm's stock. For each retained route $r\in\{I,E\}$, define"
