file,line,token,scope,context
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,20,a_i,baseline or explicit boundary prose,"There is a continuum \(\mathcal I\) of drug developers.  Developer \(i\) has research capability \(a_i>0\), measured in \(\mathsf P/\mathsf X\), and"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,21,k_i,baseline or explicit boundary prose,"internal manufacturing capability \(k_i>0\), measured in \(\mathsf K\).  Its"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,25,a_i,baseline or explicit boundary prose,"\theta_i=(a_i,k_i)."
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,25,a_i,baseline or explicit boundary prose,"\theta_i=(a_i,k_i)."
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,25,k_i,baseline or explicit boundary prose,"\theta_i=(a_i,k_i)."
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,39,q,baseline or explicit boundary prose,scientific value shifter \(q>0\) and manufacturing requirement \(m>0\).  The
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,39,m,baseline or explicit boundary prose,scientific value shifter \(q>0\) and manufacturing requirement \(m>0\).  The
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,40,k_i,baseline or explicit boundary prose,latter is measured on the same \(\mathsf K\) scale as \(k_i\). Let
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,43,q,baseline or explicit boundary prose,"\omega=(q,m)\sim F(q,m),"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,43,m,baseline or explicit boundary prose,"\omega=(q,m)\sim F(q,m),"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,43,q,baseline or explicit boundary prose,"\omega=(q,m)\sim F(q,m),"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,43,m,baseline or explicit boundary prose,"\omega=(q,m)\sim F(q,m),"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,46,q,baseline or explicit boundary prose,where \(F\) is an exogenous joint distribution.  Thus \(q\) governs the
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,47,m,baseline or explicit boundary prose,"project's value side, while the pair \((m,k_i)\) governs the manufacturing"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,47,k_i,baseline or explicit boundary prose,"project's value side, while the pair \((m,k_i)\) governs the manufacturing"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,48,q,baseline or explicit boundary prose,"mismatch.  The institutional regime does not directly alter \(q\), \(m\), or"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,48,m,baseline or explicit boundary prose,"mismatch.  The institutional regime does not directly alter \(q\), \(m\), or"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,55,q,baseline or explicit boundary prose,"\(\rho_g\geq0\) be the class share and \(F_g(q,m)\) the conditional project"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,55,m,baseline or explicit boundary prose,"\(\rho_g\geq0\) be the class share and \(F_g(q,m)\) the conditional project"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,60,q,baseline or explicit boundary prose,"F(q,m)="
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,60,m,baseline or explicit boundary prose,"F(q,m)="
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,61,q,baseline or explicit boundary prose,"\sum_{g\in\{O,\mathrm{Inc}\}}\rho_gF_g(q,m)."
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,61,m,baseline or explicit boundary prose,"\sum_{g\in\{O,\mathrm{Inc}\}}\rho_gF_g(q,m)."
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,70,M,baseline or explicit boundary prose,"Let the exogenous institutional regime be \(M\in\{0,1\}\).  The value \(M=0\)"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,70,M,baseline or explicit boundary prose,"Let the exogenous institutional regime be \(M\in\{0,1\}\).  The value \(M=0\)"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,71,M,baseline or explicit boundary prose,denotes the pre-MAH regime.  The value \(M=1\) means that a developer may
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,73,\tau_E,baseline or explicit boundary prose,"the product.  Let \(\tau_E(M)\), measured in \(\mathsf C\) per project, denote"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,73,M,baseline or explicit boundary prose,"the product.  Let \(\tau_E(M)\), measured in \(\mathsf C\) per project, denote"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,75,\tau_E,baseline or explicit boundary prose,finite post-MAH burden is denoted by \(\bar\tau_E\geq0\). The baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,78,\tau_E,baseline or explicit boundary prose,"\tau_E(0)=+\infty,"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,80,\tau_E,baseline or explicit boundary prose,"\tau_E(1)=\bar\tau_E<+\infty,"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,80,\tau_E,baseline or explicit boundary prose,"\tau_E(1)=\bar\tau_E<+\infty,"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,82,\tau_E,baseline or explicit boundary prose,\bar\tau_E\geq0.
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,87,p_m,baseline or explicit boundary prose,"Let \(p_m\), measured in \(\mathsf C/\mathsf B\), denote a conjectured price"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,88,p_m,baseline or explicit boundary prose,of qualified manufacturing service and let \(p_m^*\) denote its future
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,89,\Omega_i,baseline or explicit boundary prose,"market-consistent value.  Let \(\Omega_i(M,p_m)\), measured in \(\mathsf C\)"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,89,M,baseline or explicit boundary prose,"market-consistent value.  Let \(\Omega_i(M,p_m)\), measured in \(\mathsf C\)"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,89,p_m,baseline or explicit boundary prose,"market-consistent value.  Let \(\Omega_i(M,p_m)\), measured in \(\mathsf C\)"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,104,\tau_E,baseline or explicit boundary prose,"\(\tau_E(0)=+\infty\), which makes the entrusted route unavailable when values are assembled.  Thus the common label domain is not a second policy channel."
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,107,q,baseline or explicit boundary prose,"\(r_i^*(q,m;M,p_m)\), but route values and the argmax are defined in the"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,107,m,baseline or explicit boundary prose,"\(r_i^*(q,m;M,p_m)\), but route values and the argmax are defined in the"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,107,M,baseline or explicit boundary prose,"\(r_i^*(q,m;M,p_m)\), but route values and the argmax are defined in the"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,107,p_m,baseline or explicit boundary prose,"\(r_i^*(q,m;M,p_m)\), but route values and the argmax are defined in the"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,113,x_i,baseline or explicit boundary prose,"Developer \(i\) chooses one common control \(x_i\geq0\), measured in"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,114,x_i,baseline or explicit boundary prose,"\(\mathsf X\).  Canonically, \(x_i\) is"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,119,x_i,baseline or explicit boundary prose,Let \(x_i^*\) reserve the optimal value of this common control; its
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,125,a_i,baseline or explicit boundary prose,\lambda_i^{\mathrm{plan}}=a_ix_i.
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,125,a_i,baseline or explicit boundary prose,\lambda_i^{\mathrm{plan}}=a_ix_i.
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,125,x_i,baseline or explicit boundary prose,\lambda_i^{\mathrm{plan}}=a_ix_i.
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,128,x_i,baseline or explicit boundary prose,"The control \(x_i\) has units \(\mathsf X\), so"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,129,a_i,baseline or explicit boundary prose,\(\lambda_i^{\mathrm{plan}}\) has units \(\mathsf P\).
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,131,s(q),baseline or explicit boundary prose,"Finally, let \(s(q)\in[0,1]\) be the exogenous, route-independent probability"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,134,q,baseline or explicit boundary prose,\Pr\{\text{downstream realization}\mid q\}=s(q).
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,134,s(q),baseline or explicit boundary prose,\Pr\{\text{downstream realization}\mid q\}=s(q).
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,137,s(q),baseline or explicit boundary prose,The reform does not shift \(s(q)\).  If typed observed outcomes later require a
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,138,q,baseline or explicit boundary prose,"class-specific probability \(s_g(q)\), it is likewise exogenous and"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,145,M,baseline or explicit boundary prose,\item[Stage 0.] \textbf{Institutional regime.}  The value of \(M\) is
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,151,a_i,baseline or explicit boundary prose,"observes \((a_i,k_i,M)\), anticipates the market-consistent service price"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,151,k_i,baseline or explicit boundary prose,"observes \((a_i,k_i,M)\), anticipates the market-consistent service price"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,151,M,baseline or explicit boundary prose,"observes \((a_i,k_i,M)\), anticipates the market-consistent service price"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,152,p_m,baseline or explicit boundary prose,"\(p_m^*\) and future route opportunities, and chooses \(x_i\).  Equation"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,152,x_i,baseline or explicit boundary prose,"\(p_m^*\) and future route opportunities, and chooses \(x_i\).  Equation"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,157,q,baseline or explicit boundary prose,"project draws \((q,m)\) according to \eqref{eq:p01-project-draw}.  The"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,157,m,baseline or explicit boundary prose,"project draws \((q,m)\) according to \eqref{eq:p01-project-draw}.  The"
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,162,q,baseline or explicit boundary prose,"\((q,m)\) and the manufacturing-service price, the project chooses a route"
