"surface","scope","file","line","object","occurrence_in_line","matched_text","variant","category","canonical_meaning","direct_M_shift","context"
"appendix-container","boundary","14_appendix_model_candidate.tex","38","M","1","M","M","primitive parameter","binary institutional regime","policy object","institutional wedge \(\tau_E(M)\), whose infinite/finite value encodes the"
"appendix-container","boundary","14_appendix_model_candidate.tex","38","tau_E","1","\tau_E(M)","\tau_E(M)","primitive parameter","institutional barrier on retained entrusted route E","yes, through M only","institutional wedge \(\tau_E(M)\), whose infinite/finite value encodes the"
"appendix-container","boundary","14_appendix_model_candidate.tex","39","x_i","1","x_i","control","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","effective availability of retained entrusted manufacturing. The common control \(x_i\) is original-drug innovation"
"appendix-container","boundary","14_appendix_model_candidate.tex","44","M","1","M","M","primitive parameter","binary institutional regime","policy object","M"
"appendix-container","boundary","14_appendix_model_candidate.tex","48","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","\Omega_i"
"appendix-container","boundary","14_appendix_model_candidate.tex","48","Omega_i","1","\Omega_i","\Omega_i","endogenous firm-level object","expected optimized value per planning-stage project","indirect only","\Omega_i"
"appendix-container","boundary","14_appendix_model_candidate.tex","50","x_i","1","x_i^*","optimized","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","x_i^*,"
"appendix-container","boundary","14_appendix_model_candidate.tex","77","x_i","1","x_i","control","control / optimized control","original-drug innovation investment / project-advancement intensity","through Omega_i only","\(x_i\), exogenous shares \(\rho_g\), and conditional distributions \(F_g\)"
"appendix-module","baseline","01_primitives_and_timing.tex","22","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","has research capability \(a_i>0\), measured in \(\mathsf P/\mathsf X\), and"
"appendix-module","baseline","01_primitives_and_timing.tex","23","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","internal manufacturing capability \(k_i>0\), measured in \(\mathsf K\). Its"
"appendix-module","baseline","01_primitives_and_timing.tex","26","a_i","1","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","\theta_i=(a_i,k_i)."
"appendix-module","baseline","01_primitives_and_timing.tex","26","a_i","2","a_i","a_i","exogenous firm characteristic","research capability for viable planning-stage projects","no","\theta_i=(a_i,k_i)."
"appendix-module","baseline","01_primitives_and_timing.tex","26","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","\theta_i=(a_i,k_i)."
"appendix-module","baseline","01_primitives_and_timing.tex","40","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","scientific value shifter \(q>0\) and manufacturing requirement \(m>0\). The"
"appendix-module","baseline","01_primitives_and_timing.tex","40","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","scientific value shifter \(q>0\) and manufacturing requirement \(m>0\). The"
"appendix-module","baseline","01_primitives_and_timing.tex","41","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","latter is measured on the same \(\mathsf K\) scale as \(k_i\). Define"
"appendix-module","baseline","01_primitives_and_timing.tex","43","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","\omega=(q,m)\sim F(q,m),"
"appendix-module","baseline","01_primitives_and_timing.tex","43","m","2","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","\omega=(q,m)\sim F(q,m),"
"appendix-module","baseline","01_primitives_and_timing.tex","43","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\omega=(q,m)\sim F(q,m),"
"appendix-module","baseline","01_primitives_and_timing.tex","43","q","2","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\omega=(q,m)\sim F(q,m),"
"appendix-module","baseline","01_primitives_and_timing.tex","46","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","where \(F\) is an exogenous joint distribution. Thus \(q\) governs the"
"appendix-module","baseline","01_primitives_and_timing.tex","47","k_i","1","k_i","k_i","exogenous firm characteristic","internal manufacturing capability","no","project's value side, while the pair \((m,k_i)\) governs the manufacturing"
"appendix-module","baseline","01_primitives_and_timing.tex","47","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","project's value side, while the pair \((m,k_i)\) governs the manufacturing"
"appendix-module","baseline","01_primitives_and_timing.tex","48","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","mismatch. The institutional regime does not directly alter \(q\), \(m\), or"
"appendix-module","baseline","01_primitives_and_timing.tex","48","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","mismatch. The institutional regime does not directly alter \(q\), \(m\), or"
"appendix-module","baseline","01_primitives_and_timing.tex","54","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","\(\rho_g\geq0\) be the class share and \(F_g(q,m)\) the conditional project"
"appendix-module","baseline","01_primitives_and_timing.tex","54","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\(\rho_g\geq0\) be the class share and \(F_g(q,m)\) the conditional project"
"appendix-module","baseline","01_primitives_and_timing.tex","59","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","F(q,m)="
"appendix-module","baseline","01_primitives_and_timing.tex","59","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","F(q,m)="
"appendix-module","baseline","01_primitives_and_timing.tex","60","m","1","m","m","exogenous project characteristic","manufacturing requirement/complexity","no","\sum_{g\in\{O,\mathrm{Inc}\}}\rho_gF_g(q,m)."
"appendix-module","baseline","01_primitives_and_timing.tex","60","q","1","q","q","exogenous project characteristic","commercial/scientific value shifter","no","\sum_{g\in\{O,\mathrm{Inc}\}}\rho_gF_g(q,m)."
"appendix-module","baseline","01_primitives_and_timing.tex","69","M","1","M","M","primitive parameter","binary institutional regime","policy object","Let the exogenous institutional regime be \(M\in\{0,1\}\). The value \(M=0\)"
"appendix-module","baseline","01_primitives_and_timing.tex","69","M","2","M","M","primitive parameter","binary institutional regime","policy object","Let the exogenous institutional regime be \(M\in\{0,1\}\). The value \(M=0\)"
